candidate,announced,"
suspended",campaignLength,party,year,wonNomination,imcumbant,daysUntilConventionAnnounced,daysUntilConventionSuspended
Barack Obama,2/10/2007,8/27/2008,564,D,2008,1,0,564,0
Bill Richardson,1/21/2007,1/10/2008,354,D,2008,0,0,584,230
Chris Dodd,1/11/2007,1/3/2008,357,D,2008,0,0,594,237
Dennis Kucinich,12/11/2006,1/23/2008,408,D,2008,0,0,625,217
Hillary Clinton '08,1/20/2007,6/7/2008,504,D,2008,0,0,585,81
Joe Biden '08,1/7/2007,1/3/2008,361,D,2008,0,0,598,237
John Edwards,12/28/2006,1/30/2008,398,D,2008,0,0,608,210
Mike Gravel '08,4/17/2006,3/26/2008,709,D,2008,0,0,863,154
Tom Vilsack,11/30/2006,2/23/2007,85,D,2008,0,0,636,551
Bernie Sanders '16,5/26/2015,7/26/2016,427,D,2016,0,0,427,0
Hillary Clinton '16,4/12/2015,7/26/2016,471,D,2016,1,0,471,0
Jim Webb,7/2/2015,10/20/2015,110,D,2016,0,0,390,280
Lawrence Lessig,9/6/2015,11/2/2015,57,D,2016,0,0,324,267
Lincoln Chafee,6/3/2015,10/23/2015,142,D,2016,0,0,419,277
Martin O'Malley,5/30/2015,2/1/2016,247,D,2016,0,0,423,176
Amy Klobuchar,2/10/2019,3/2/2020,386,D,2020,0,0,555,169
Andrew Yang,11/6/2017,2/11/2020,827,D,2020,0,0,1016,189
Bernie Sanders '20,2/19/2019,4/8/2020,414,D,2020,0,0,546,132
Beto O'Rourke,3/14/2019,11/1/2019,232,D,2020,0,0,523,291
Bill de Blasio,5/16/2019,9/20/2019,127,D,2020,0,0,460,333
Cory Booker,2/1/2019,1/13/2020,346,D,2020,0,0,564,218
Deval Patrick,11/14/2019,2/12/2020,90,D,2020,0,0,278,188
Elizabeth Warren,2/9/2019,3/5/2020,390,D,2020,0,0,556,166
Eric Swalwell,4/8/2019,7/8/2019,91,D,2020,0,0,498,407
Jay Inslee,3/1/2019,8/21/2019,173,D,2020,0,0,536,363
Joe Biden '20,4/25/2019,8/18/2020,481,D,2020,1,0,481,0
Joe Sestak,6/23/2019,12/1/2019,161,D,2020,0,0,422,261
John Delaney,7/28/2017,1/31/2020,917,D,2020,0,0,1117,200
John Hickenlooper,3/4/2019,8/15/2019,164,D,2020,0,0,533,369
Julián Castro,1/12/2019,1/2/2020,355,D,2020,0,0,584,229
Kamala Harris,1/21/2019,12/3/2019,316,D,2020,0,0,575,259
Kirsten Gillibrand,3/17/2019,8/28/2019,164,D,2020,0,0,520,356
